Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
42	100		Mo	1.67e+7	-	1.59e+7	1.55e+7	1.56e+7	1.55e+7	1.57e+7	1.61e+7	1.67e+7	1.73e+7	1.88e+7	2.03e+7	
42	92		Mo	1.65e+7	-	1.33e+7	1.18e+7	1.11e+7	1.05e+7	1.02e+7	9.92e+6	9.96e+6	1.01e+7	1.07e+7	1.14e+7	
42	94		Mo	1.91e+7	-	1.68e+7	1.59e+7	1.52e+7	1.50e+7	1.49e+7	1.50e+7	1.52e+7	1.59e+7	1.69e+7	1.81e+7	
42	95		Mo	4.67e+7	-	4.70e+7	4.58e+7	4.46e+7	4.35e+7	4.25e+7	4.09e+7	3.96e+7	4.00e+7	3.78e+7	3.54e+7	
42	96		Mo	2.43e+7	-	2.08e+7	1.89e+7	1.77e+7	1.69e+7	1.63e+7	1.56e+7	1.54e+7	1.61e+7	1.66e+7	1.68e+7	
42	97		Mo	5.66e+7	-	5.64e+7	5.44e+7	5.24e+7	5.08e+7	4.94e+7	4.72e+7	4.59e+7	4.53e+7	4.39e+7	4.34e+7	
42	98		Mo	1.77e+7	-	1.56e+7	1.50e+7	1.47e+7	1.45e+7	1.44e+7	1.43e+7	1.43e+7	1.44e+7	1.43e+7	1.44e+7	
42	99		Mo	4.18e+7	-	4.12e+7	3.95e+7	3.80e+7	3.67e+7	3.57e+7	3.39e+7	3.23e+7	3.09e+7	2.84e+7	2.62e+7	
43	99		Tc	1.10e+8	-	1.15e+8	1.16e+8	1.16e+8	1.15e+8	1.13e+8	1.10e+8	1.06e+8	1.04e+8	9.77e+7	8.97e+7	
44	100		Ru	3.12e+7	-	3.22e+7	3.16e+7	3.10e+7	3.04e+7	3.00e+7	2.94e+7	2.93e+7	2.94e+7	3.00e+7	3.13e+7	
44	101		Ru	1.43e+8	-	1.44e+8	1.44e+8	1.44e+8	1.45e+8	1.44e+8	1.43e+8	1.41e+8	1.39e+8	1.34e+8	1.28e+8	
44	102		Ru	2.71e+7	-	2.50e+7	2.39e+7	2.31e+7	2.25e+7	2.20e+7	2.13e+7	2.09e+7	2.02e+7	1.98e+7	1.93e+7	
44	103		Ru	6.91e+7	-	6.67e+7	6.40e+7	6.15e+7	5.95e+7	5.75e+7	5.39e+7	5.07e+7	4.79e+7	4.28e+7	3.87e+7	
